title,image,area_1,area_2,latitude,longitude,address
貓空茶園,/hotspots/taiwan_img/貓空茶園.jpg,臺北市,文山區,24.967978,121.58721,臺北市文山區指南路三段
大龍峒保安宮,/hotspots/taiwan_img/大龍峒保安宮.jpg,臺北市,大同區,25.0731,121.5154,臺北市大同區哈密街61號
關渡自然公園,/hotspots/taiwan_img/關渡自然公園.jpg,臺北市,北投區,25.118888,121.47083,臺北市北投區關渡路55號
臺北北投-磺泉玉露的風華小鎮,/hotspots/taiwan_img/臺北北投-磺泉玉露的風華小鎮.jpg,臺北市,北投區,25.136304,121.50628,臺北市北投區
關渡碼頭,/hotspots/taiwan_img/關渡碼頭.jpg,臺北市,北投區,25.120615,121.46059,臺北市北投區關渡碼頭
國家兩廳院,/hotspots/taiwan_img/國家兩廳院.jpg,臺北市,中正區,25.036756,121.51904,臺北市中正區中山南路21-1號
松山文創園區,/hotspots/taiwan_img/松山文創園區.jpg,臺北市,信義區,25.043848,121.56063,臺北市信義區光復南路133號
四四南村,/hotspots/taiwan_img/四四南村.jpg,臺北市,信義區,25.031161,121.56179,臺北市信義區松勤街50號
清水巖祖師廟,/hotspots/taiwan_img/清水巖祖師廟.jpg,臺北市,萬華區,25.040264,121.5027,臺北市萬華區康定路81號
青山宮,/hotspots/taiwan_img/青山宮.jpg,臺北市,萬華區,25.039913,121.49953,臺北市萬華區貴陽街二段218號
臺北植物園,/hotspots/taiwan_img/臺北植物園.jpg,臺北市,中正區,25.031004,121.50865,臺北市中正區南海路53號
松山慈祐宮,/hotspots/taiwan_img/松山慈祐宮.jpg,臺北市,松山區,25.051078,121.57773,臺北市松山區八德路四段761號
臺北孔廟,/hotspots/taiwan_img/臺北孔廟.jpg,臺北市,大同區,25.072945,121.5166,臺北市大同區大龍街275號
學海書院,/hotspots/taiwan_img/學海書院.jpg,臺北市,萬華區,25.036329,121.49562,臺北市萬華區環河南路二段93號
